station_id,last_contact,has_valid_data,last_error
46573,2026-04-16T12:54:23.092303+00:00,True,
46574,2026-04-16T12:01:14.969935+00:00,True,
46575,2026-04-16T11:57:18.090586+00:00,True,
46576,2026-04-16T11:56:27.679787+00:00,True,
46577,2026-04-16T11:57:29.935773+00:00,True,
46579,2026-04-16T11:54:53.088711+00:00,True,
46582,2026-04-16T12:00:25.374378+00:00,True,
46583,2026-04-16T12:01:30.469029+00:00,True,
48215,2026-04-16T11:56:00.237565+00:00,True,
48217,2026-04-16T12:01:12.829343+00:00,True,
48218,2026-04-16T13:05:03.580487+00:00,True,
48219,2026-04-16T12:01:26.438562+00:00,True,
48220,2026-04-16T13:04:45.267583+00:00,True,
48221,2026-04-02T17:00:41.619995+00:00,True,
48222,2026-04-16T12:54:24.766127+00:00,True,
48224,2026-04-16T12:54:05.094908+00:00,True,
48225,2026-04-16T12:54:03.931479+00:00,True,
48226,2026-04-16T11:57:20.489354+00:00,True,
48227,2026-04-16T12:54:14.598165+00:00,True,
48228,2026-04-16T13:05:10.878970+00:00,True,
48229,2026-04-16T13:01:03.580113+00:00,True,
48230,2026-04-16T12:01:21.049686+00:00,True,
48233,2026-03-19T08:01:15.374722+00:00,True,
48235,2026-04-16T12:54:26.061021+00:00,True,
48236,2026-04-16T12:52:43.391902+00:00,True,
48307,2026-04-16T10:01:19.297669+00:00,True,
49307,2026-04-02T17:00:57.176477+00:00,True,
49308,2026-04-16T12:01:17.372285+00:00,True,
49309,2026-04-16T12:01:19.840495+00:00,True,
49312,2026-04-16T12:54:21.796184+00:00,True,
49615,2026-04-16T13:04:53.217133+00:00,True,
49616,2026-04-16T12:01:29.103583+00:00,True,
49618,2026-04-16T12:54:18.796881+00:00,True,
49619,2026-04-16T13:04:48.527413+00:00,True,
49620,2026-04-16T12:54:13.323545+00:00,True,
49621,2026-04-16T13:04:41.669110+00:00,True,
49622,2026-04-16T12:54:06.722820+00:00,True,
49623,2026-04-16T12:54:09.721115+00:00,True,
49625,2026-04-16T12:01:35.196793+00:00,True,
49627,2026-04-16T13:04:59.088018+00:00,True,
49629,2026-04-16T12:54:17.153355+00:00,True,
49630,2026-04-16T11:57:11.363765+00:00,True,
49631,2026-04-16T12:54:08.408417+00:00,True,
49632,2026-04-16T12:54:15.881574+00:00,True,
49633,2026-04-16T12:52:55.717824+00:00,True,
49634,2026-04-16T12:54:20.070571+00:00,True,
49636,2026-04-16T13:03:29.539487+00:00,True,
49637,2026-04-16T12:54:10.953820+00:00,True,
51201,2026-04-16T12:54:30.808909+00:00,True,
51204,2026-04-16T12:01:54.999561+00:00,True,
51205,2026-04-16T12:00:13.920412+00:00,True,
51206,2026-04-16T11:57:42.517365+00:00,True,
51207,2026-04-16T11:56:52.339400+00:00,True,
51208,2026-04-16T12:01:32.797740+00:00,True,
51211,2026-04-16T13:05:01.703638+00:00,True,
51213,2026-04-16T12:01:36.613897+00:00,True,
51283,2026-04-16T12:00:32.262860+00:00,True,
51284,2026-04-16T12:54:28.838980+00:00,True,
51285,2026-04-16T13:06:08.898836+00:00,True,
51286,2026-04-16T12:01:13.848834+00:00,True,
51287,2026-04-16T12:00:18.985011+00:00,True,
51289,2026-04-16T13:04:57.431508+00:00,True,
51290,2026-04-16T12:00:30.091756+00:00,True,
51292,2026-04-16T12:00:40.534660+00:00,True,
51293,2026-04-16T13:05:09.677150+00:00,True,
51295,2026-04-16T12:00:37.509348+00:00,True,
56192,2026-04-16T13:33:31.797170+00:00,True,
CHAANGA,2026-03-02T08:57:03.642707+00:00,True,
CHIPATA,2026-03-02T07:57:00.957985+00:00,True,
ChabaSS,2026-03-02T07:57:55.209824+00:00,True,
